1.1,2
0,0.95
1.21,4.1
0,0.9025
1.331,6.315
0,0.85737
1.4641,8.6612
0,0.81451
1.6105,11.156
0,0.77378
1.7716,13.82
0,0.73509
1.9487,16.672
0,0.69834
2.1436,19.736
0,0.66342
2.3579,23.036
0,0.63025
2.5937,26.6
0,0.59874
2.8531,30.458
0,0.5688
3.1384,34.641
0,0.54036
3.4523,39.186
0,0.51334
3.7975,44.131
0,0.48767
4.1772,49.519
0,0.46329
4.595,55.398
0,0.44013
5.0545,61.818
0,0.41812
5.5599,68.836
0,0.39721
6.1159,76.514
0,0.37735
6.7275,84.92
0,0.35849
7.4002,94.129
0,0.34056
8.1403,104.22
0,0.32353
8.9543,115.29
0,0.30736
9.8497,127.44
0,0.29199
10.835,140.76
0,0.27739
11.918,155.4
0,0.26352
13.11,171.46
0,0.25034
14.421,189.11
0,0.23783
15.863,208.5
0,0.22594
17.449,229.8
0,0.21464
19.194,253.21
0,0.20391
21.114,278.93
0,0.19371
23.225,307.22
0,0.18403
25.548,338.3
0,0.17482
28.102,372.48
0,0.16608
30.913,410.07
0,0.15778
34.004,451.39
0,0.14989
37.404,496.83
0,0.1424
41.145,546.79
0,0.13528
45.259,601.74
0,0.12851
49.785,662.17
0,0.12209
54.764,728.64
0,0.11598
60.24,801.73
0,0.11018
66.264,882.13
0,0.10467
72.89,970.55
0,0.09944
80.18,1067.8
0,0.094468
88.197,1174.8
0,0.089745
97.017,1292.4
0,0.085258
106.72,1421.8
0,0.080995
117.39,1564.2
0,0.076945
129.13,1720.8
0,0.073098
142.04,1893
0,0.069443
156.25,2082.4
0,0.065971
171.87,2290.8
0,0.062672
189.06,2520
0,0.059539
207.97,2772.1
0,0.056562
228.76,3049.4
0,0.053734
251.64,3354.5
0,0.051047
276.8,3690
0,0.048495
304.48,4059.1
0,0.04607
334.93,4465.1
0,0.043766
368.42,4911.7
0,0.041578
405.27,5403
0,0.039499
445.79,5943.4
0,0.037524
490.37,6537.8
0,0.035648
539.41,7191.7
0,0.033866
593.35,7910.9
0,0.032172
652.68,8702
0,0.030564
717.95,9572.3
0,0.029035
789.75,10530
0,0.027584
868.72,11583
0,0.026205
955.59,12741
0,0.024894
1051.2,14015
0,0.02365
1156.3,15417
0,0.022467
1271.9,16958
0,0.021344
1399.1,18654
0,0.020277
1539,20520
0,0.019263
1692.9,22572
0,0.0183
1862.2,24829
0,0.017385
2048.4,27312
0,0.016515
2253.2,30043
0,0.01569
2478.6,33047
0,0.014905
2726.4,36352
0,0.01416
2999.1,39987
0,0.013452
3299,43986
0,0.012779
3628.9,48385
0,0.01214
3991.8,53223
0,0.011533
4390.9,58546
0,0.010957
4830,64400
0,0.010409
5313,70840
0,0.0098884
5844.3,77924
0,0.0093939
6428.8,85717
0,0.0089242
7071.6,94288
0,0.008478
7778.8,1.0372e+05
0,0.0080541
8556.7,1.1409e+05
0,0.0076514
9412.3,1.255e+05
0,0.0072689
10354,1.3805e+05
0,0.0069054
11389,1.5185e+05
0,0.0065601
12528,1.6704e+05
0,0.0062321
13781,1.8374e+05
0,0.0059205
